Column1,var,grouping,color,size,pre.scale
X11,GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,MN1,-1.070837966,0.998577525,0.281242282
X21,GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,MN2,-0.470609707,1,0.31894043
X31,GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,MN3,0.2996601,1,0.367318268
X41,GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,MN4,1.241787574,1,0.426489859
X15,GOBP_CELLULAR_EXTRAVASATION,MN1,-0.142736776,1,0.446993817
X25,GOBP_CELLULAR_EXTRAVASATION,MN2,0.430599694,1,0.458992101
X35,GOBP_CELLULAR_EXTRAVASATION,MN3,-1.317127433,1,0.422417198
X45,GOBP_CELLULAR_EXTRAVASATION,MN4,1.029264515,0.997942387,0.471520435
X110,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,MN1,-1.051789992,0.998577525,0.347584682
X210,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,MN2,0.458880462,1,0.430750009
X310,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,MN3,-0.571702963,1,0.3740144
X410,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,MN4,1.164612493,1,0.46960192
X13,GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,MN1,-0.337930093,0.998577525,0.439273496
X23,GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,MN2,0.855132052,1,0.466358258
X33,GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,MN3,-1.263788398,1,0.418254765
X43,GOBP_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL,MN4,0.746586439,1,0.463894068
X17,GOBP_LEUKOCYTE_MIGRATION,MN1,0.48567357,1,0.39346429
X27,GOBP_LEUKOCYTE_MIGRATION,MN2,0.561215402,1,0.397384512
X37,GOBP_LEUKOCYTE_MIGRATION,MN3,-1.498424023,0.999201278,0.290500101
X47,GOBP_LEUKOCYTE_MIGRATION,MN4,0.451535051,1,0.391692681
X18,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,MN1,0.601449181,1,0.479554362
X28,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,MN2,0.499204482,1,0.472094377
X38,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,MN3,-1.494608179,0.999201278,0.326621674
X48,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,MN4,0.393954515,1,0.464415122
X16,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING,MN1,-1.03264715,0.998577525,0.401745344
X26,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING,MN2,-0.676759442,1,0.427658281
X36,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING,MN3,0.940146477,1,0.545388621
X46,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING,MN4,0.769260115,1,0.532946024
X19,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,MN1,0.982279957,0.998577525,0.663502333
X29,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,MN2,0.695855134,1,0.631809077
X39,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,MN3,-1.106315584,1,0.43239669
X49,GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,MN4,-0.571819506,1,0.491539333
X14,GOBP_REGULATION_OF_CELL_CELL_ADHESION,MN1,0.744521312,1,0.428073384
X24,GOBP_REGULATION_OF_CELL_CELL_ADHESION,MN2,0.549975554,0.99872449,0.415183308
X34,GOBP_REGULATION_OF_CELL_CELL_ADHESION,MN3,-1.455132657,1,0.282330259
X44,GOBP_REGULATION_OF_CELL_CELL_ADHESION,MN4,0.16063579,1,0.389386708
X12,GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,MN1,-0.142652955,1,0.434866991
X22,GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,MN2,1.222924526,1,0.478570867
X32,GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,MN3,-1.21118437,1,0.400669763
X42,GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION,MN4,0.130912799,0.997942387,0.443622176
