"","var","grouping","color","size"
"X11","GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL","MN3",0.36656111588795,1
"X12","GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY","MN3",0.438346648456746,0.998525073746313
"X13","GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS","MN3",0.362130638027359,1
"X14","GOBP_NATURAL_KILLER_CELL_ACTIVATION","MN3",0.426349536438596,1
"X15","GOBP_NATURAL_KILLER_CELL_DEGRANULATION","MN3",0.309879766782119,1
"X16","GOBP_NATURAL_KILLER_CELL_PROLIFERATION","MN3",0.252271142689415,0.998525073746313
"X17","GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION","MN3",0.297484814920895,0.998525073746313
"X21","GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL","MN4",0.376243396932638,0.999043977055449
"X22","GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY","MN4",0.44449389600736,1
"X23","GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS","MN4",0.384469056285628,0.999043977055449
"X24","GOBP_NATURAL_KILLER_CELL_ACTIVATION","MN4",0.40243409937867,0.999043977055449
"X25","GOBP_NATURAL_KILLER_CELL_DEGRANULATION","MN4",0.298850504696938,0.999043977055449
"X26","GOBP_NATURAL_KILLER_CELL_PROLIFERATION","MN4",0.278862523631125,1
"X27","GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION","MN4",0.288596240246553,1
